pa_code,sdimax,species,site,fvsseq
CDC411,899,DF,85,3
CDC412,1155,DF,87,3
CDC421,720,DF,72,3
CDC431,765,DF,96,3
CDC432,1193,DF,93,3
CDC511,735,DF,101,3
CDC521,595,DF,71,3
CDF911,670,DF,70,3
CDH111,845,DF,86,3
CDH112,800,DF,92,3
CDH121,720,DF,97,3
CDH131,1098,DF,81,3
CDH141,780,DF,86,3
CDH142,1050,DF,82,3
CDH511,1087,DF,95,3
CDS111,655,DF,77,3
CDS112,630,DF,67,3
CDS511,635,DF,93,3
CDS521,670,DF,85,3
CHC111,1215,DF,117,3
CHC412,945,DF,108,3
CHC461,1105,DF,146,3
CHC611,890,DF,119,3
CHH111,650,DF,106,3
CHH511,1152,DF,108,3
CHS131,1050,DF,61,3
CHS331,1145,DF,102,3
CMF211,555,RF,74,9
CPC411,720,DF,76,3
CPC511,420,PP,52,10
CPG141,200,PP,57,10
CPH411,470,PP,60,10
CPS321,364,PP,58,10
CPS611,340,PP,57,10
CQF111,436,WF,33,4
CRF211,675,RF,57,9
CRF311,319,RF,50,9
CRH111,470,RF,81,9
CRS211,755,RF,91,9
CTH111,1309,DF,87,3
CTH211,760,DF,87,3
CTS111,1348,DF,85,3
CTS112,370,DF,92,3
CTS211,990,DF,83,3
CTS311,660,DF,87,3
CWC221,815,DF,92,3
CWC231,785,DF,95,3
CWC232,675,DF,89,3
CWC233,988,DF,78,3
CWC241,930,DF,84,3
CWC521,899,DF,57,3
CWC522,874,DF,95,3
CWC523,335,DF,69,3
CWC611,1399,DF,99,3
CWC612,1399,DF,99,3
CWC721,660,WF,77,4
CWC722,1349,DF,89,3
CWC723,945,DF,81,3
CWC811,695,DF,96,3
CWC911,1641,WF,65,4
CWF911,670,DF,89,3
CWH312,815,DF,93,3
CWH413,654,DF,108,3
CWH511,1337,DF,93,3
CWH521,470,DF,96,3
CWH522,560,DF,105,3
CWH531,810,DF,94,3
CWS331,695,DF,92,3
CWS523,900,DF,101,3
HTC111,820,DF,125,3
HTC211,870,DF,103,3
HTC311,890,DF,98,3
HTC411,865,DF,90,3
HTC412,970,DF,99,3
HTH111,735,DF,96,3
HTH112,650,DF,83,3
HTH211,810,DF,110,3
HTH311,595,DF,104,3
HTS111,910,DF,107,3
HTS112,915,DF,116,3
HTS221,830,DF,111,3
HTS222,815,DF,93,3
HTS223,840,DF,68,3
HTS311,805,DF,95,3
HTS312,785,DF,96,3
HTS321,970,DF,102,3
HTS331,610,DF,90,3
HTS341,935,DF,109,3
HTS411,730,DF,79,3
HTS511,450,DF,50,3
